Порода;Тип пастбища;порода папы_быка;Имя_папы;Текущая_жирность,%;Текущий_уровень_белок,%;Возраст
Вис Бик Айдиал;холмистое;Айдиал;Геркулес;3,58;3,076;более_2_лет
Вис Бик Айдиал;равнинное;Соверин;Буйный;3,54;3,081;менее_2_лет
РефлешнСоверинг;равнинное;Соверин;Барин;3,59;3,074;более_2_лет
РефлешнСоверинг;холмистое;Айдиал;Буйный;3,4;3,061;более_2_лет
РефлешнСоверинг;равнинное;Айдиал;Буйный;3,64;3,074;более_2_лет
РефлешнСоверинг;равнинное;Соверин;Геркулес;3,63;3,053;менее_2_лет
Вис Бик Айдиал;холмистое;Айдиал;Геркулес;3,58;3,076;более_2_лет
Вис Бик Айдиал;равнинное;Соверин;Буйный;3,57;3,079;более_2_лет
РефлешнСоверинг;равнинное;Соверин;Барин;3,59;3,074;более_2_лет
РефлешнСоверинг;холмистое;Айдиал;Буйный;3,4;3,079;менее_2_лет
Вис Бик Айдиал;холмистое;Соверин;Соловчик;3,73;3,055;более_2_лет
РефлешнСоверинг;равнинное;Соверин;Геркулес;3,73;3,073;более_2_лет
Вис Бик Айдиал;холмистое;Айдиал;Геркулес;3,68;3,046;более_2_лет
Вис Бик Айдиал;холмистое;Соверин;Барин;3,42;3,075;менее_2_лет
РефлешнСоверинг;равнинное;Соверин;Барин;3,59;3,074;более_2_лет
РефлешнСоверинг;холмистое;Айдиал;Буйный;3,4;3,065;более_2_лет
Вис Бик Айдиал;холмистое;Соверин;Соловчик;3,73;3,079;более_2_лет
РефлешнСоверинг;равнинное;Соверин;Геркулес;3,77;3,053;менее_2_лет
Вис Бик Айдиал;равнинное;Соверин;Буйный;3,34;3,069;более_2_лет
РефлешнСоверинг;равнинное;Айдиал;Буйный;3,64;3,074;более_2_лет
