id,dept,level,workload,employment_years,last_year_promo,last_year_violations,supervisor_evaluation,salary,job_satisfaction_rate
155278,sales,junior,medium,2,no,no,1,24000,0.58
653870,hr,junior,high,2,no,no,5,38400,0.76
184592,sales,junior,low,1,no,no,2,12000,0.11
171431,technology,junior,low,4,no,no,2,18000,0.37
693419,hr,junior,medium,1,no,no,3,22800,0.2
405448,hr,middle,low,7,no,no,4,30000,0.78
857135,sales,sinior,medium,9,no,no,3,56400,0.56
400657,purchasing,middle,high,9,no,no,3,52800,0.44
198846,hr,junior,low,1,no,no,2,13200,0.14
149797,technology,middle,high,6,no,no,3,54000,0.47
964158,purchasing,junior,low,2,no,no,4,13200,0.74
784541,sales,middle,low,3,no,no,4,19200,0.42
569960,sales,middle,medium,3,no,no,3,38400,0.32
381081,marketing,junior,high,2,no,no,2,40800,0.57
581188,marketing,middle,medium,4,no,no,2,34800,0.16
798010,technology,junior,medium,3,no,no,4,27600,0.69
861046,hr,junior,medium,1,no,no,3,26400,0.33
955615,purchasing,junior,high,2,no,no,5,33600,0.64
848242,sales,middle,high,2,yes,no,1,50400,0.39
732462,sales,junior,low,2,no,yes,4,15600,0.74
311555,technology,junior,medium,2,no,no,2,30000,0.39
887667,sales,sinior,medium,10,no,no,4,52800,0.8
926848,marketing,junior,low,1,no,no,5,18000,0.79
983772,marketing,junior,medium,1,no,no,3,26400,0.17
930592,hr,junior,low,2,no,no,4,13200,0.65
262343,marketing,middle,high,8,no,no,4,56400,0.64
806861,sales,junior,low,1,no,yes,3,15600,0.18
418046,sales,junior,low,1,no,no,2,14400,0.19
411077,purchasing,junior,medium,2,no,yes,3,24000,0.14
235316,hr,middle,low,4,no,yes,4,25200,0.49
106754,hr,junior,medium,2,no,no,4,24000,0.63
805266,sales,junior,low,3,no,no,4,15600,0.78
176144,hr,sinior,high,3,no,no,1,72000,0.22
254431,marketing,middle,low,3,no,no,4,31200,0.65
385514,sales,middle,medium,8,no,yes,2,32400,0.23
165722,hr,sinior,medium,1,no,no,4,48000,0.5
966840,purchasing,junior,low,2,no,no,3,12000,0.35
162817,sales,middle,medium,4,no,no,4,33600,0.49
581466,sales,middle,medium,5,no,no,4,43200,0.8
120057,technology,junior,low,1,no,no,4,19200,0.63
377249,sales,middle,high,3,yes,no,2,46800,0.3
325079,purchasing,middle,high,8,no,no,4,54000,0.77
952853,hr,middle,low,7,no,no,3,19200,0.58
166511,technology,junior,low,2,no,no,4,19200,0.88
970445,marketing,middle,high,2,no,no,5,58800,0.59
538347,technology,sinior,high,3,no,no,1,84000,0.21
935294,marketing,junior,high,2,no,no,4,43200,0.77
232083,hr,sinior,medium,7,no,no,3,44400,0.36
150996,marketing,sinior,medium,8,yes,no,5,54000,0.85
246931,technology,middle,medium,6,no,no,4,39600,0.7
533575,sales,middle,medium,6,no,no,3,33600,0.39
436832,sales,junior,medium,2,no,no,3,26400,0.48
696387,sales,junior,low,4,no,no,4,12000,0.6
460328,technology,junior,high,1,no,no,1,37200,0.1
334796,technology,junior,high,2,no,no,4,46800,0.79
835214,technology,middle,medium,6,no,no,3,39600,0.27
831529,sales,junior,medium,2,no,no,5,21600,0.71
941760,purchasing,junior,medium,3,no,no,4,28800,0.86
612195,sales,junior,medium,3,no,no,3,24000,0.54
307447,marketing,middle,high,5,no,no,3,62400,0.5
305255,technology,middle,medium,8,no,no,4,40800,0.73
471928,sales,middle,high,4,yes,no,5,52800,0.77
177157,sales,junior,low,1,no,no,4,12000,0.46
879753,purchasing,junior,medium,2,no,no,4,30000,0.78
188350,marketing,middle,high,6,no,yes,1,60000,0.31
934538,purchasing,junior,medium,3,no,no,5,26400,0.85
745075,technology,junior,high,2,no,no,3,38400,0.39
990103,purchasing,middle,medium,2,no,no,1,42000,0.33
655288,sales,middle,medium,7,no,no,4,43200,0.79
412118,technology,junior,medium,1,no,no,4,34800,0.72
764738,purchasing,middle,high,6,no,no,4,49200,0.74
136463,purchasing,middle,low,5,no,yes,3,18000,0.22
782851,hr,middle,high,9,no,no,2,55200,0.56
448250,marketing,middle,medium,7,no,no,3,40800,0.51
943824,purchasing,junior,high,2,no,no,5,34800,0.61
686005,sales,junior,low,1,no,no,5,19200,0.72
510808,sales,middle,medium,5,no,no,4,33600,0.74
601267,technology,junior,low,1,no,no,4,19200,0.65
114966,hr,sinior,low,5,no,no,4,40800,0.81
362785,hr,junior,low,1,no,no,4,13200,0.47
957940,sales,junior,medium,2,no,no,3,26400,0.46
233514,technology,middle,medium,6,yes,no,4,46800,0.99
984851,hr,middle,medium,1,no,yes,3,33600,0.23
187459,technology,middle,low,1,no,no,5,28800,0.65
596170,purchasing,middle,high,3,yes,no,4,49200,0.72
228273,sales,junior,medium,1,no,no,4,28800,0.6
276730,marketing,middle,medium,5,no,no,2,40800,0.58
702721,sales,middle,medium,6,no,yes,1,31200,0.15
763746,sales,middle,low,7,no,no,5,28800,0.91
297739,marketing,junior,low,1,no,no,5,14400,0.68
898627,sales,middle,high,6,no,no,3,55200,0.56
641867,technology,junior,high,1,no,no,1,44400,0.36
671796,purchasing,middle,low,3,no,no,3,28800,0.31
393844,sales,middle,high,5,no,no,3,46800,0.4
790132,marketing,middle,low,6,no,no,4,31200,0.89
912563,technology,middle,high,7,no,no,4,57600,0.68
293983,sales,junior,low,2,no,yes,3,18000,0.33
740091,sales,junior,medium,3,no,no,4,21600,0.63
933272,purchasing,junior,medium,1,no,no,5,22800,0.49
910969,sales,junior,medium,2,no,no,4,21600,0.67
976877,purchasing,middle,medium,8,no,no,4,44400,0.91
914780,sales,sinior,low,3,no,no,5,26400,0.46
895497,technology,junior,low,1,no,no,5,19200,0.6
831218,sales,middle,high,3,yes,no,4,57600,0.8
538087,purchasing,junior,medium,1,no,no,3,25200,0.37
215945,sales,junior,low,2,no,no,4,15600,0.75
233000,hr,middle,medium,5,no,no,3,33600,0.54
849462,technology,junior,medium,2,no,no,3,34800,0.51
826954,technology,middle,high,5,yes,no,4,68400,0.98
303318,marketing,junior,high,5,no,no,1,33600,0.37
906885,technology,sinior,medium,10,no,no,4,62400,0.68
621840,sales,middle,high,8,no,no,2,45600,0.26
396302,sales,junior,low,1,no,no,5,12000,0.45
146093,hr,junior,medium,3,no,no,4,31200,0.92
678655,purchasing,middle,high,6,no,no,4,58800,0.82
656945,hr,middle,medium,9,no,no,4,40800,0.82
794245,sales,middle,medium,3,no,yes,3,42000,0.22
580929,sales,middle,low,7,no,no,4,28800,0.77
744167,marketing,junior,low,3,no,no,2,13200,0.32
626201,sales,junior,medium,1,no,no,4,25200,0.66
204629,sales,junior,low,1,no,no,4,15600,0.66
748744,sales,middle,high,8,no,no,4,57600,0.79
347782,sales,junior,medium,2,no,no,5,27600,0.86
885343,hr,sinior,medium,5,no,no,4,54000,0.75
165837,technology,middle,medium,6,no,no,4,51600,0.8
629315,technology,middle,high,4,no,no,2,56400,0.17
503247,hr,junior,medium,1,no,no,2,22800,0.15
234987,sales,middle,high,2,no,no,3,48000,0.14
390951,sales,junior,medium,2,no,no,1,26400,0.55
756173,technology,middle,high,3,no,no,5,64800,0.65
386396,marketing,junior,low,3,no,no,4,13200,0.69
966842,sales,junior,medium,1,no,no,3,24000,0.38
891640,hr,junior,medium,2,no,no,4,22800,0.69
800659,purchasing,junior,low,1,no,no,3,19200,0.38
263545,technology,middle,low,7,no,no,3,21600,0.39
242056,technology,junior,high,4,no,no,5,46800,0.77
991730,marketing,junior,low,2,no,no,4,18000,0.75
991291,sales,middle,low,1,no,no,4,24000,0.65
187280,sales,junior,high,4,no,no,5,34800,0.8
978512,technology,middle,low,4,no,no,4,22800,0.53
564724,technology,junior,medium,2,no,no,3,26400,0.4
128304,marketing,sinior,high,7,no,no,3,80400,0.48
458032,sales,junior,medium,2,no,no,4,27600,0.84
345135,marketing,junior,low,4,no,no,3,20400,0.52
545240,technology,junior,medium,2,no,no,4,27600,0.71
347980,sales,middle,high,4,no,no,5,58800,0.7
679549,sales,middle,high,3,no,no,4,58800,0.68
844846,hr,middle,medium,5,no,no,3,43200,0.69
398692,sales,junior,low,4,no,no,3,12000,0.35
894834,sales,junior,medium,1,no,no,5,25200,0.66
713240,marketing,sinior,low,1,no,no,3,26400,0.17
931392,marketing,junior,medium,2,no,no,4,31200,0.88
564220,hr,middle,high,5,no,no,3,50400,0.53
503857,marketing,sinior,low,7,no,no,4,40800,0.78
320103,technology,middle,high,7,no,no,3,55200,0.57
766267,sales,middle,medium,9,no,no,4,43200,0.77
505773,sales,middle,low,4,no,no,1,18000,0.24
335445,technology,junior,low,1,no,yes,2,21600,0.23
844767,technology,junior,low,3,no,no,4,15600,0.61
874800,technology,middle,medium,8,no,no,4,40800,0.59
443826,purchasing,sinior,medium,3,no,no,5,55200,0.73
793161,hr,middle,high,3,no,no,4,55200,0.66
357024,sales,middle,high,4,yes,no,4,52800,0.8
710849,sales,middle,high,5,no,yes,4,54000,0.62
285928,marketing,junior,high,1,no,yes,4,38400,0.42
681396,purchasing,junior,medium,1,no,no,4,22800,0.55
466316,sales,junior,high,3,no,yes,5,37200,0.7
566910,hr,middle,high,8,no,no,3,61200,0.61
907730,marketing,junior,medium,2,no,yes,3,30000,0.41
346102,marketing,middle,high,8,no,no,3,57600,0.53
462141,sales,junior,medium,1,no,no,3,20400,0.23
723906,hr,junior,medium,3,no,no,1,25200,0.28
152337,marketing,middle,medium,2,no,yes,3,45600,0.21
539476,sales,junior,low,1,no,yes,3,14400,0.09
576571,hr,junior,low,1,no,no,4,13200,0.51
311165,hr,junior,medium,2,no,no,3,22800,0.32
154585,purchasing,middle,low,6,no,yes,3,19200,0.22
253479,technology,sinior,low,4,no,no,3,31200,0.22
868810,sales,junior,medium,2,no,no,5,28800,0.76
258111,purchasing,junior,medium,1,no,no,2,27600,0.3
781254,sales,sinior,medium,8,no,no,4,51600,0.78
212887,sales,sinior,low,8,no,no,2,37200,0.46
407938,marketing,junior,medium,1,no,yes,4,24000,0.36
271531,technology,junior,high,3,no,no,2,37200,0.4
509551,hr,sinior,medium,6,yes,no,4,60000,0.97
482708,purchasing,junior,high,2,no,no,4,39600,0.86
383290,sales,junior,low,2,no,no,5,18000,0.83
566339,technology,middle,medium,5,no,no,2,44400,0.25
246162,marketing,junior,medium,1,no,no,5,32400,0.59
230358,sales,sinior,medium,9,no,no,4,46800,0.67
712077,sales,junior,low,1,no,no,5,12000,0.56
213556,sales,middle,medium,3,no,no,4,43200,0.63
243089,sales,middle,low,5,no,no,2,27600,0.49
493733,sales,junior,medium,1,no,yes,1,26400,0.18
273162,purchasing,middle,high,6,no,no,2,46800,0.31
638570,sales,junior,medium,1,no,no,3,24000,0.32
486576,marketing,sinior,high,9,no,no,4,76800,0.66
605472,sales,junior,medium,2,no,no,4,25200,0.77
763200,sales,sinior,high,6,yes,no,4,72000,0.81
300352,marketing,sinior,high,6,no,no,4,69600,0.67
226012,technology,junior,medium,2,no,no,3,26400,0.36
158432,technology,middle,medium,3,no,no,4,40800,0.48
349048,purchasing,junior,medium,2,no,no,4,25200,0.81
585996,sales,junior,high,1,no,no,4,31200,0.64
743247,technology,junior,medium,1,no,no,3,30000,0.21
184065,technology,middle,medium,5,no,yes,1,44400,0.17
167074,marketing,junior,low,3,no,no,4,16800,0.81
337679,hr,junior,medium,2,no,no,3,25200,0.36
312863,sales,middle,medium,6,no,no,3,32400,0.38
219630,sales,middle,low,2,no,no,3,18000,0.16
887441,marketing,junior,medium,2,no,yes,5,27600,0.74
104245,sales,middle,high,8,no,no,3,52800,0.43
469583,marketing,junior,high,1,no,no,4,39600,0.67
744767,hr,middle,low,5,no,yes,4,20400,0.46
762793,sales,sinior,high,10,no,no,3,68400,0.41
901487,technology,junior,high,1,no,no,5,48000,0.71
329119,sales,junior,high,2,no,no,4,31200,0.67
