id;Удой, кг;ЭКЕ (Энергетическая кормовая единица);Сырой протеин, г;СПО (Сахаро-протеиновое соотношение);Порода;Тип пастбища;порода папы_быка;Жирность,%;Белок,%;Вкус молока;Возраст
1;5863;14,2;1743;0,89;Вис Бик Айдиал;Равнинное;Айдиал;3,58;3,076;вкусно;более_2_лет
2;5529;12,8;2138;0,89;Вис Бик Айдиал;Равнинные;Соверин;3,54;3,079;вкусно;менее_2_лет
3;5810;14;1854;0,885;РефлешнСоверинг;Холмистое;Соверин;3,59;3,074;не вкусно;более_2_лет
4;5895;12,4;2012;0,885;РефлешнСоверинг;Холмистое;Айдиал;3,4;3,075;не вкусно;более_2_лет
5;5302;12,8;1675;0,885;Вис Бик Айдиал;Равнинные;Соверин;3,73;3,073;вкусно;менее_2_лет
6;5254;12,7;1806;0,885;РефлешнСоверинг;Холмистое;Соверин;3,13;3,078;вкусно;менее_2_лет
7;5910;13,2;1792;0,885;Вис Бик Айдиал;Равнинные;Соверин;3,48;3,077;вкусно;более_2_лет
8;6179;14,7;1806;0,93;Вис Бик Айдиал;Равнинные;Айдиал;3,55;3,076;вкусно;более_2_лет
9;6783;14,2;1918;0,94;РефлешнСоверинг;Холмистое;Айдиал;3,71;3,077;вкусно;более_2_лет
10;5339;13,4;1791;0,895;Вис Бик Айдиал;Холмистое;Соверин;3,13;3,075;вкусно;менее_2_лет
11;5591;13,7;1678;0,895;РефлешнСоверинг;Холмистое;Айдиал;3,13;3,075;вкусно;менее_2_лет
12;6563;16,5;2328;0,93;Вис Бик Айдиал;Холмистое;Соверин;3,71;3,075;вкусно;более_2_лет
13;6173;15,4;2193;0,93;РефлешнСоверинг;Холмистое;Соверин;3,72;3,075;вкусно;более_2_лет
14;6131;14,5;1766;0,93;РефлешнСоверинг;Равнинные;Айдиал;3,61;3,076;не вкусно;более_2_лет
15;6014;16;1769;0,93;Вис Бик Айдиал;Равнинные;Айдиал;3,71;3,071;не вкусно;более_2_лет
16;6518;15,6;1747;0,93;Вис Бик Айдиал;Равнинные;Айдиалл;3,73;3,076;вкусно;более_2_лет
17;45616;11,5;1675;0,93;Вис Бик Айдиал;Холмистое;Айдиалл;3,22;3,076;вкусно;более_2_лет
18;5777;12,4;1873;0,895;Вис Бик Айдиал;Холмистое;Айдиалл;3,03;3,08;вкусно;более_2_лет
19;6461;15,7;2159;0,93;РефлешнСоверинг;Холмистое;Соверин;3,72;3,073;не вкусно;более_2_лет
20;5698;14,3;1759;0,895;РефлешнСоверинг;Холмистое;Соверин;3,49;3,072;вкусно;более_2_лет
21;6752;15,5;1924;0,93;РефлешнСоверинг;Холмистое;Айдиалл;3,73;3,078;вкусно;более_2_лет
22;6278;14,6;1947;0,93;РефлешнСоверинг;Холмистое;Айдиалл;3,49;3,071;вкусно;более_2_лет
23;6244;15,9;2134;0,93;Вис Бик Айдиал;Равнинные;Соверин;3,73;3,078;вкусно;более_2_лет
24;6320;14,3;1822;0,93;Вис Бик Айдиал;Равнинные;Айдиалл;3,71;3,075;вкусно;более_2_лет
25;5372;13,2;1703;0,895;Вис Бик Айдиал;Равнинные;Айдиалл;3,31;3,078;не вкусно;менее_2_лет
26;6365;15,2;1821;0,93;Вис Бик Айдиал;Равнинные;Айдиалл;3,73;3,074;не вкусно;более_2_лет
27;6051;14,8;1901;0,93;РефлешнСоверинг;Холмистое;Айдиалл;3,72;3,074;вкусно;более_2_лет
28;7028;16,4;2303;0,95;РефлешнСоверинг;Холмистое;Айдиалл;3,7;3,077;вкусно;более_2_лет
29;6159;14,6;2173;0,93;Вис Бик Айдиал;Равнинные;Айдиалл;3,74;3,076;вкусно;более_2_лет
30;6672;16,5;1840;0,93;Вис Бик Айдиал;Холмистое;Айдиалл;3,73;3,076;не вкусно;более_2_лет
31;5242;11,8;1764;0,885;Вис Бик Айдиал;Холмистое;Айдиалл;3,21;3,078;вкусно;менее_2_лет
32;6674;14,4;1994;0,93;РефлешнСоверинг;Холмистое;Айдиалл;3,71;3,073;не вкусно;более_2_лет
33;6930;15,7;1788;0,94;РефлешнСоверинг;Холмистое;Айдиалл;3,72;3,079;вкусно;более_2_лет
34;6837;16,1;2141;0,93;Вис Бик Айдиал;Холмистое;Айдиалл;3,72;3,078;не вкусно;более_2_лет
35;5356;12,9;1734;0,885;Вис Бик Айдиал;Равнинные;Айдиалл;3,11;3,075;не вкусно;менее_2_лет
36;6401;16,4;1768;0,93;РефлешнСоверинг;Холмистое;Айдиалл;3,71;3,073;вкусно;более_2_лет
37;6150;13,8;1702;0,93;Вис Бик Айдиал;Холмистое;Айдиалл;3,11;3,074;вкусно;более_2_лет
38;6016;14,2;2269;0,93;РефлешнСоверинг;Равнинные;Айдиалл;3,72;3,076;не вкусно;более_2_лет
39;5702;13,3;1745;0,895;Вис Бик Айдиал;Равнинные;Айдиалл;3,49;3,075;не вкусно;более_2_лет
